Mar 14 10:00:53 ip-172-31-41-184.eu-west-1.compute.internal facaibot[4209]: 2026-03-14T10:00:53.767579Z  INFO facaibot::storage::cold: flushed binance_ticks to QuestDB count=53
Mar 14 10:01:02 ip-172-31-41-184.eu-west-1.compute.internal facaibot[4209]: 2026-03-14T10:01:02.030779Z  INFO facaibot::engine::strategy: buildup CONFIRMED direction=Down composite_score=0.507665937127068 buildup_detected_ms=1773482462030
Mar 14 10:01:02 ip-172-31-41-184.eu-west-1.compute.internal facaibot[4209]: 2026-03-14T10:01:02.030813Z  INFO facaibot::engine::evaluator: Leg 1 signal generated direction=Down expected_pct=0.0331819502611651665687249284 target_pct=0.03 tier="MED" yes_mid=0.3950 ask_price=0.60 entry_size=15.08 alloc=9.05 bot_contested=false time_remaining_secs=237 composite_score=0.507665937127068
Mar 14 10:01:02 ip-172-31-41-184.eu-west-1.compute.internal facaibot[4209]: 2026-03-14T10:01:02.030839Z  INFO facaibot::executor::live: Leg 1: maker post-only at 0.60 side=Buy token=5081950495765325573239336612658083970352591379568114799151653888415832448145 price=0.60 size=15.08 expected_pct=0.0331819502611651665687249284 tier="MED"
Mar 14 10:01:02 ip-172-31-41-184.eu-west-1.compute.internal facaibot[4209]: 2026-03-14T10:01:02.030845Z  INFO facaibot::gateway::polymarket::rest: placing order via SDK token_id=5081950495765325573239336612658083970352591379568114799151653888415832448145 side=Buy price=0.60 size=15.08 order_type=Gtc post_only=true
Mar 14 10:01:02 ip-172-31-41-184.eu-west-1.compute.internal facaibot[4209]: 2026-03-14T10:01:02.309762Z  INFO facaibot::executor::live: Leg 1: maker posted order_id=0x5978d16f252165307bbabce83956e450dc48089b0f4813c4aaca6ec32656b1bd status=Placed already_filled=false
Mar 14 10:01:02 ip-172-31-41-184.eu-west-1.compute.internal facaibot[4209]: 2026-03-14T10:01:02.311430Z  INFO facaibot::engine::strategy: Leg 1 posted — immediate drift detected, cancelling for repost price=0.60 current_ask=0.61 drift=0.01 repost_count=0
Mar 14 10:01:02 ip-172-31-41-184.eu-west-1.compute.internal facaibot[4209]: 2026-03-14T10:01:02.311460Z  INFO facaibot::gateway::polymarket::rest: cancelling order via SDK order_id="0x5978d16f252165307bbabce83956e450dc48089b0f4813c4aaca6ec32656b1bd"
Mar 14 10:01:02 ip-172-31-41-184.eu-west-1.compute.internal facaibot[4209]: 2026-03-14T10:01:02.318929Z  INFO facaibot::gateway::polymarket::user_ws: User WS: order event order_id="0x5978d16f252165307bbabce83956e450dc48089b0f4813c4aaca6ec32656b1bd" status="LIVE"
Mar 14 10:01:03 ip-172-31-41-184.eu-west-1.compute.internal facaibot[4209]: 2026-03-14T10:01:03.058515Z  INFO facaibot::executor::live: Leg 1 cancel result order_id=0x5978d16f252165307bbabce83956e450dc48089b0f4813c4aaca6ec32656b1bd was_cancelled=true
Mar 14 10:01:03 ip-172-31-41-184.eu-west-1.compute.internal facaibot[4209]: 2026-03-14T10:01:03.058675Z  INFO facaibot::gateway::polymarket::user_ws: User WS: order event order_id="0x5978d16f252165307bbabce83956e450dc48089b0f4813c4aaca6ec32656b1bd" status="CANCELED"
Mar 14 10:01:03 ip-172-31-41-184.eu-west-1.compute.internal facaibot[4209]: 2026-03-14T10:01:03.058704Z  INFO facaibot::engine::strategy: Leg 1 cancel confirmed — re-arming for repost order_id=0x5978d16f252165307bbabce83956e450dc48089b0f4813c4aaca6ec32656b1bd repost_count=1
Mar 14 10:01:03 ip-172-31-41-184.eu-west-1.compute.internal facaibot[4209]: 2026-03-14T10:01:03.058722Z  WARN facaibot::engine::strategy: TradeStatusUpdate unmatched — buffering order_id=0x5978d16f252165307bbabce83956e450dc48089b0f4813c4aaca6ec32656b1bd status=Canceled
